"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2023 08:00 - 03/01/2023 08:15","CTA|ES","27528.00","27000.00"
"03/01/2023 08:15 - 03/01/2023 08:30","CTA|ES","27708.00","27487.00"
"03/01/2023 08:30 - 03/01/2023 08:45","CTA|ES","28016.00","27914.00"
"03/01/2023 08:45 - 03/01/2023 09:00","CTA|ES","28256.00","28284.00"
"03/01/2023 09:00 - 03/01/2023 09:15","CTA|ES","29304.00","28711.00"
"03/01/2023 09:15 - 03/01/2023 09:30","CTA|ES","29632.00","28976.00"
"03/01/2023 09:30 - 03/01/2023 09:45","CTA|ES","29724.00","29192.00"
"03/01/2023 09:45 - 03/01/2023 10:00","CTA|ES","29600.00","29355.00"
"03/01/2023 10:00 - 03/01/2023 10:15","CTA|ES","29696.00","29579.00"
"03/01/2023 10:15 - 03/01/2023 10:30","CTA|ES","29676.00","29626.00"
"03/01/2023 10:30 - 03/01/2023 10:45","CTA|ES","29688.00","29611.00"
"03/01/2023 10:45 - 03/01/2023 11:00","CTA|ES","29524.00","29550.00"
"03/01/2023 11:00 - 03/01/2023 11:15","CTA|ES","29468.00","29472.00"
"03/01/2023 11:15 - 03/01/2023 11:30","CTA|ES","29264.00","29366.00"
"03/01/2023 11:30 - 03/01/2023 11:45","CTA|ES","29248.00","29260.00"
"03/01/2023 11:45 - 03/01/2023 12:00","CTA|ES","29164.00","29168.00"
"03/01/2023 12:00 - 03/01/2023 12:15","CTA|ES","29060.00","29033.00"
"03/01/2023 12:15 - 03/01/2023 12:30","CTA|ES","28832.00","28998.00"
"03/01/2023 12:30 - 03/01/2023 12:45","CTA|ES","28756.00","29002.00"
"03/01/2023 12:45 - 03/01/2023 13:00","CTA|ES","28948.00","29027.00"
"03/01/2023 13:00 - 03/01/2023 13:15","CTA|ES","28900.00","29108.00"
"03/01/2023 13:15 - 03/01/2023 13:30","CTA|ES","28876.00","29109.00"
"03/01/2023 13:30 - 03/01/2023 13:45","CTA|ES","28752.00","29068.00"
"03/01/2023 13:45 - 03/01/2023 14:00","CTA|ES","28784.00","28993.00"
"03/01/2023 14:00 - 03/01/2023 14:15","CTA|ES","28532.00","28911.00"
"03/01/2023 14:15 - 03/01/2023 14:30","CTA|ES","28520.00","28799.00"
"03/01/2023 14:30 - 03/01/2023 14:45","CTA|ES","28220.00","28685.00"
"03/01/2023 14:45 - 03/01/2023 15:00","CTA|ES","28004.00","28577.00"
"03/01/2023 15:00 - 03/01/2023 15:15","CTA|ES","27796.00","28439.00"
"03/01/2023 15:15 - 03/01/2023 15:30","CTA|ES","27564.00","28362.00"
"03/01/2023 15:30 - 03/01/2023 15:45","CTA|ES","27656.00","28310.00"
"03/01/2023 15:45 - 03/01/2023 16:00","CTA|ES","27640.00","28281.00"
"03/01/2023 16:00 - 03/01/2023 16:15","CTA|ES","27712.00","28229.00"
"03/01/2023 16:15 - 03/01/2023 16:30","CTA|ES","27516.00","28244.00"
"03/01/2023 16:30 - 03/01/2023 16:45","CTA|ES","27804.00","28281.00"
"03/01/2023 16:45 - 03/01/2023 17:00","CTA|ES","27884.00","28352.00"
"03/01/2023 17:00 - 03/01/2023 17:15","CTA|ES","28148.00","28351.00"
"03/01/2023 17:15 - 03/01/2023 17:30","CTA|ES","28284.00","28534.00"
"03/01/2023 17:30 - 03/01/2023 17:45","CTA|ES","28668.00","28787.00"
"03/01/2023 17:45 - 03/01/2023 18:00","CTA|ES","29048.00","29079.00"
